"sid","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"321",0.18,0.25,0.3,0.25,0.25,0.19,0.28,0.15,0.15,0.14,0.15,0.25,0.18,0.2,0.23,0.23,0.31,0.21,0.18,0.14,0.18,0.14,0.11,0.18
"322",0.11,0.11,0.15,0.11,0.13,0.05,0.08,0.05,0.05,0.08,0.08,0.09,0.13,0.12,0.09,0.12,0.05,0.12,0.05,0.05,0.07,0.08,0.08,0.11
"323",0.04,0.01,0.05,0.06,0.05,0.08,0.05,0.07,0.02,0.05,0.01,0.03,0.05,0.14,0.06,0.05,0.08,0.04,0.05,0.08,0.08,0.07,0.03,0.05
"324",NA,0.03,0.02,0.04,0.02,0.01,0.05,0.09,0.04,0.03,0.01,0.03,0.02,0.07,0.07,0.03,0.05,0.08,0.05,0.11,0.03,0.04,0.02,0.02
"325",0.08,0.09,0.05,0.11,0.04,NA,0.02,0.04,0.02,0.06,0.05,0.04,0.06,0.02,0.02,0.07,0.05,0.05,0.05,0.04,0.04,0.02,0.03,0.02
"326",0.04,0.08,0.1,0.14,0.03,0.03,0.02,0.02,NA,0.02,0.01,0.08,0.05,0.02,0.07,0.04,0.03,0.04,0.01,0.07,0.07,0.05,0.02,0.04
"327",0.03,0.04,0.05,0.07,0.08,0.08,0.08,0.11,0.18,0.18,0.13,0.15,0.21,0.19,0.26,0.22,0.1,0.11,0.05,0.05,0.04,0.07,0.05,0.08
"328",0.02,0.02,0.02,0.05,0.03,0.04,0.06,0.04,0.02,0.01,0.06,0.05,0.03,0.05,0.06,0.05,0.05,0.08,0.08,0.07,0.08,0.08,0.02,0.02
"329",0.02,0.02,0.03,0.05,0.06,0.02,0.02,0.05,0.04,0.05,0.09,0.11,0.04,0.1,0.31,0.24,0.25,0.73,0.46,0.14,0.05,0.06,0.06,0.02
"330",0.04,0.02,0.04,0.05,0.04,0.05,0.01,0.01,0.02,NA,0.02,0.07,0.08,0.15,0.06,0.07,0.12,0.11,0.07,NA,0.02,0.01,0.01,0.02
"331",0.02,0.06,0.07,0.03,0.02,0.03,0.02,0.01,0.01,NA,0.05,0.05,0.05,0.02,0.05,0.03,0.02,0.01,0.02,0.03,0.05,0.12,0.06,0.01
"332",0.08,0.08,0.06,0.02,0.02,0.05,0.01,NA,0.03,0.02,0.08,0.18,0.17,0.16,0.12,0.05,0.01,0.02,0.01,0.05,0.18,0.15,0.07,0.1
"334",0.02,NA,0.02,0.02,NA,0.01,NA,NA,0.01,0.01,0.16,0.08,0.1,0.05,0.04,0.03,0.03,0.05,0.04,0.03,0.03,0.02,0.05,0.01
"335",0.01,0.02,0.02,0.02,0.03,0.03,0.02,NA,0.03,0.04,0.08,0.04,0.05,0.06,0.09,0.03,0.04,0.05,0.02,0.05,0.04,0.03,0.05,0.04
"336",0.02,NA,0.05,0.01,0.01,0.03,0.02,NA,0.02,0.04,0.04,0.05,0.03,0.04,0.06,0.05,0.04,0.05,0.05,0.06,0.08,0.02,0.03,0.01
"337",0.02,0.07,0.08,0.1,0.05,0.08,0.23,0.13,0.11,0.11,0.12,0.15,0.38,0.89,0.48,0.29,0.2,0.21,0.14,0.06,0.02,0.05,0.06,0.06
"339",0.07,0.07,0.04,0.09,0.08,0.02,0.02,0.03,0.02,0.01,0.04,0.11,0.08,0.04,0.05,0.02,0.03,0.03,0.02,0.05,0.07,0.15,0.05,0.05
"340",0.05,0.12,0.09,0.08,0.09,0.03,0.05,0.02,0.02,0.02,0.08,0.11,0.22,0.18,0.11,0.13,0.14,0.06,0.05,0.06,0.05,0.08,0.08,0.08
"341",0.04,0.03,0.11,0.05,0.04,0.06,0.01,0.01,NA,NA,0.02,0.01,0.02,0.02,0.01,0.02,NA,0.01,0.02,NA,0.02,0.01,0.01,NA
"342",0.21,0.47,0.81,0.82,0.73,0.33,0.15,0.08,0.16,0.34,0.65,0.66,0.34,0.31,0.32,0.21,0.15,0.08,0.09,0.05,0.27,0.3,0.17,0.17
"343",0.05,0.05,0.05,0.03,0.05,0.07,0.07,0.01,0.01,NA,0.02,0.01,0.04,0.01,0.05,0.03,0.03,0.05,0.02,0.04,0.02,0.03,0.02,0.04
"344",0.04,0.06,0.06,0.03,0.05,0.02,0.02,0.01,NA,NA,0.05,NA,0.02,0.03,0.01,0.01,0.02,NA,0.01,0.01,0.02,0.03,0.01,0.02
"345",0.02,0.02,0.03,0.02,0.02,0.01,0.03,0.02,0.01,0.04,0.06,0.05,0.04,0.04,0.09,0.05,0.04,0.05,0.06,0.08,0.07,0.03,0.01,0.02
"346",0.02,0.03,0.04,0.03,0.02,NA,NA,0.02,0.01,0.01,0.03,0.01,0.05,0.02,0.03,0.02,0.02,0.03,0.05,0.03,0.02,0.02,0.01,0.02
"347",0.03,0.02,0.02,0.05,0.04,0.02,0.05,0.08,0.05,0.04,0.07,0.07,0.13,0.49,0.44,0.74,1.46,2.8,2.5,0.4,0.15,0.11,0.02,0.02
"348",0.02,0.02,0.01,0.02,0.02,NA,NA,0.02,0.05,0.05,0.11,0.06,0.06,0.11,0.08,0.03,0.09,0.02,0.06,0.05,0.01,0.02,0.02,0.02
"349",0.27,0.66,2.07,1.87,0.71,0.25,0.09,0.04,0.06,0.04,0.07,0.11,0.15,0.06,0.17,0.29,0.11,0.13,0.04,0.05,0.1,0.08,0.15,0.09
"350",0.08,0.18,0.1,0.15,0.08,NA,0.04,0.03,0.04,0.05,0.08,0.06,0.04,0.06,0.11,0.02,0.04,0.02,0.02,0.04,0.02,0.01,0.03,0.03
"351",0.02,NA,NA,0.03,0.02,NA,0.01,0.02,0.02,0.02,0.05,0.01,0.08,0.11,0.02,0.03,0.04,0.01,0.01,0.01,0.01,NA,NA,0.02
"352",0.02,0.06,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.05,0.05,0.26,0.11,0.08,0.05,0.11,0.06,0.04,0.02,0.03,NA,NA,0.03
